trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'e': 0.8860339595928756, 'a': 0.001}",30,0,-207.75462288071867,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
123,False,"{'e': 0.8851483685026271, 'a': 0.001}",35,0,-192.35507543734371,"{0: 17, 1: 7, 2: 8, 3: 1, 4: 2}",0
124,False,"{'e': 0.8842636625608209, 'a': 0.001}",20,0,-111.6527988716422,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
125,False,"{'e': 0.8833798408827509, 'a': 0.001}",25,0,-191.8005815276003,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
126,False,"{'e': 0.8824969025845955, 'a': 0.001}",30,10,-53.43090342012156,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
127,False,"{'e': 0.8816148467834161, 'a': 0.001}",20,13,-23.94034947230575,"{0: 4, 1: 2, 2: 0, 3: 1, 4: 0}",1
128,False,"{'e': 0.880733672597157, 'a': 0.001}",25,0,-81.42481310735553,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
129,False,"{'e': 0.8798533791446438, 'a': 0.001}",20,0,-71.31795145748606,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
130,False,"{'e': 0.8789739655455832, 'a': 0.001}",30,0,-143.88202180361446,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
131,False,"{'e': 0.8780954309205613, 'a': 0.001}",30,0,-249.35584334880323,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
132,False,"{'e': 0.8772177743910435, 'a': 0.001}",20,11,-8.776824842313593,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.8763409950793732, 'a': 0.001}",35,4,-135.73988654530453,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 3}",1
134,False,"{'e': 0.8754650921087711, 'a': 0.001}",25,0,-93.09492896409594,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
135,False,"{'e': 0.874590064603334, 'a': 0.001}",25,0,-154.62052844115345,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
136,False,"{'e': 0.8737159116880344, 'a': 0.001}",25,0,-68.97755401681638,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
137,False,"{'e': 0.8728426324887193, 'a': 0.001}",20,0,-99.83550781490791,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
138,False,"{'e': 0.8719702261321094, 'a': 0.001}",20,7,-46.991842188055735,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 0}",1
139,False,"{'e': 0.8710986917457983, 'a': 0.001}",20,9,-22.711608911423617,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
140,False,"{'e': 0.8702280284582515, 'a': 0.001}",30,8,-139.65832111759315,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 2}",1
141,False,"{'e': 0.8693582353988059, 'a': 0.001}",20,0,-85.54407567118702,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
142,False,"{'e': 0.8684893116976679, 'a': 0.001}",25,0,-79.43491680177856,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
143,False,"{'e': 0.867621256485914, 'a': 0.001}",20,2,-78.5989141821121,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
144,False,"{'e': 0.8667540688954889, 'a': 0.001}",30,0,-133.40692493363474,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
145,False,"{'e': 0.865887748059205, 'a': 0.001}",25,0,-96.81372279727354,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
146,False,"{'e': 0.8650222931107413, 'a': 0.001}",20,0,-62.89803219879808,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
147,False,"{'e': 0.8641577031846428, 'a': 0.001}",20,0,-96.55643624840327,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
